source_id,total_length_km
114N04742,0.99464
114N04743,3.31267
114N04744,4.3586800000000006
114N04745,2.98884
114N04746,2.86769
114N04747,3.3834800000000005
114N04748,1.5154100000000001
114N04749,9.82076
114N04750,1.37263
114N04751,2.4138599999999997
114N04752,1.9009200000000002
114N04753,1.76975
114N04754,1.59941
114N04755,2.0689900000000003
114N04756,5.04367
114N04757,8.9854
114N04758,2.12437
114N04759,3.3429800000000003
114N04760,3.50863
114N04761,2.4196
114N04762,1.98115
114N04763,5.00279
114N04764,3.325
114N04765,2.52477
114N04766,7.73177
114N04767,7.06071
114N04768,1.59208
114N04769,2.52849
114N04770,0.80448
114N04771,1.5395299999999998
114N04772,8.56057
114N04773,6.34909
114N04774,3.79839
114N04775,2.78344
114N04776,2.29972
114N04777,7.92385
114N04778,5.27833
114N04779,4.718030000000001
114N04780,12.117519999999999
114N04781,18.26061
114N04782,8.47213
114N04783,1.8551900000000001
114N04784,2.00827
114N04785,3.44345
114N04786,1.2175200000000002
114N04787,2.15873
114N04788,1.64142
114N04789,0.1694
114N04790,1.84368
114N04861,1.79941
114N04862,2.94212
114N04863,3.61082
114N04864,5.68562
114N04865,6.3314
114N04866,1.8480299999999998
114N04867,3.96866
114N04868,2.39585
114N04869,3.2004099999999998
114N04870,2.98998
114N04871,0.87992
114N04872,2.22936
114N04873,6.70649
114N04874,5.05389
114N04875,5.75392
114N04876,8.58801
114N04877,2.60727
114N04878,0.7652100000000001
114N04879,2.21637
114N04880,2.40605
114N04881,3.0611200000000003
114N04882,13.538620000000002
114N04883,11.84419
114N04884,8.5771
114N04885,6.9888
114N04886,14.679860000000001
114N04887,9.58735
114N04888,2.6478900000000003
114N04889,10.297310000000001
114N04890,15.8466
114N04891,7.31613
114N04892,12.19329
114N04893,2.5500700000000003
114N04894,5.1894599999999995
114N04895,2.34396
114N04896,3.84195
114N04897,5.01325
114N04898,11.25387
114N04899,1.86943
114N04900,1.9243599999999998
114N04901,3.83521
114N04902,5.928730000000001
114N04903,3.72283
114N04904,7.47849
114N04905,8.19212
114N04906,1.57712
114N04907,5.40894
114N04908,7.2278899999999995
114N04909,3.24222
114N04910,2.34649
114N04911,3.6549199999999997
114N04912,4.6106300000000005
114N04913,13.051860000000001
114N04914,6.9507699999999994
114N04915,7.82959
114N04916,7.616510000000001
114N04917,8.80591
114N04918,7.871860000000001
114N04919,6.32351
114N04920,5.77122
114N04921,1.43645
114N04922,3.1459099999999998
114N04923,4.4013599999999995
114N04924,5.07584
114N04925,4.87906
114N04926,1.35615
114N04927,3.0081700000000002
114N04928,4.72021
114N04929,7.53857
114N04930,8.14969
114N04931,3.37603
114N04932,15.004620000000001
114N04933,5.5980099999999995
114N04934,6.4410300000000005
114N04935,2.24618
114N04936,4.39958
114N04937,11.1195
114N04938,6.50362
114N04939,15.8106
114N04940,5.13986
114N04941,8.30296
114N04942,3.7402300000000004
114N04943,3.7473099999999997
114N04944,3.8726
114N04945,4.15228
114N04946,12.25197
114N04947,5.13117
114N04948,9.48985
114N04949,15.371939999999999
114N04950,4.37565
114N04951,3.58008
114N04952,1.1198299999999999
114N04953,1.33365
114N04954,0.07221
114N04955,0.37205
114N04956,1.5312299999999999
114N04957,0.49206000000000005
114N04958,0.05525
114N04959,0.68558
114N04960,0.03277
114N04961,0.18979000000000001
114N05071,0.62484
114N05072,8.05214
114N05073,5.73804
114N05074,2.20237
114N05075,0.06957
114N05076,3.2777800000000004
114N05200,0.25899
114N05201,8.74255
114N05202,9.6685
114N05203,0.09004
114N05204,61.87596
114N05205,5.32941
114N05206,10.90327
114N05207,3.86692
114N05208,0.45156999999999997
114N05209,3.3362
114N05210,6.01813
114N05211,4.44726
114N05216,2.56425
114N05217,6.30208
114N05218,2.15919
114N05219,2.23012
114N05220,0.07495
114N05221,5.9413599999999995
114N05222,6.12515
114N05223,5.9794
114N05224,2.32645
114N05225,1.02224
114N05226,4.81139
114N05227,9.84334
114N05228,0.15120999999999998
114N05229,1.90688
114N05230,1.60942
114N05231,2.0952900000000003
114N05232,0.19412000000000001
114N05233,4.049930000000001
114N05234,2.7786
114N05235,5.365469999999999
114N05236,11.75286
114N05237,18.23601
114N05238,4.7255
114N05239,6.0042
114N05240,21.157510000000002
114N05241,4.69309
114N05242,7.52312
114N05243,2.44298
114N05244,3.3635099999999998
114N05246,0.9558200000000001
114N05247,2.10655
114N05248,1.9528299999999998
114N05249,1.16666
114N05250,0.29186999999999996
114N05251,0.78884
114N05252,14.44621
114N05253,1.23403
114N05254,11.09958
114N05255,4.227069999999999
114N05256,25.45474
114N05257,12.580630000000001
114N05258,5.3956599999999995
114N05259,0.94011
114N05261,0.19364
114N05262,1.02301
114N05263,3.61257
114N05264,2.3691299999999997
114N05265,1.10808
114N05266,2.14392
114N05267,1.7275200000000002
114N05268,0.9813799999999999
114N05269,0.8416100000000001
114N05270,4.47663
114N05271,3.8671599999999997
114N05272,2.76714
114N05273,0.8588399999999999
114N05274,9.0216
114N05275,4.2963
114N05276,3.7272199999999995
114N05277,1.4468
114N05278,19.74247
114N05279,3.6965
114N05280,8.43534
114N05281,4.29857
114N05282,0.715
114N05283,0.31413
114N05284,2.13859
114N05285,12.283619999999999
114N05286,3.39914
114N05287,9.05776
114N05288,1.9252599999999997
114N05289,2.6844200000000003
114N05290,6.7142
114N05291,9.4525
114N05293,1.60984
114N05294,2.1261200000000002
114N05295,1.8740299999999999
114N05296,1.93688
114N05297,3.26945
114N05298,1.5631700000000002
114N05299,2.88972
114N05300,7.782789999999999
114N05301,33.032270000000004
114N05302,7.81955
114N05303,2.08859
114N05304,1.82218
114N05305,3.75754
114N05306,6.27425
114N05307,1.41648
114N05308,6.5279
114N05309,6.73459
114N05310,1.82218
114N05311,3.53436
114N05312,3.21037
114N05313,5.15817
114N05314,1.71102
114N05315,1.39036
114N05316,1.42549
114N05317,1.07466
114N05318,8.35634
114N05319,1.17487
114N05320,1.81325
114N05321,3.7462800000000005
114N05322,1.42841
114N05323,1.62222
114N05324,2.85866
114N05325,0.46475
114N05326,1.1921700000000002
114N05327,7.2088600000000005
114N05328,6.8138
114N05329,4.20885
114N05330,1.3134700000000001
114N05331,5.3956599999999995
114N05332,20.49693
114N05333,11.52865
114N05334,6.18851
114N05335,12.73625
114N05336,17.69379
114N05337,0.02775
114N05338,0.43351000000000006
114N05339,1.1016299999999999
114N05340,4.85789
114N05341,9.16895
114N05342,14.192160000000001
114N05343,0.4501
114N05344,0.36009
114N05345,0.4225
114N05346,3.83428
114N05347,0.9308
114N05348,5.50093
114N05349,0.77146
114N05351,2.4108
114N05352,0.53998
114N05353,0.1231
114N05354,2.06426
114N05355,11.67185
114N05356,5.44682
114N05357,12.49408
114N05358,6.69123
